Nodes	12.07.2006.2b	02.07.2008	12.07.2009.1b	08.08.2009.2b	22.08.2009.1	12.09.2006.2b	05.07.2011.2	17.10.2012.2	18.08.2008.2d	25.07.2009.b	14.08.2012.1	02.09.2009.2	04.08.2008.4b	02.06.2008	15.07.2008	16.06.10.1	12.07.2006.1b	19.10.10.2	17.09.2012.2	24.04.12.1	16.06.10.2	25.07.06.1	27.08.13.2	16.09.10.1	27.10.08.2	15.08.2006.1a	23.10.13.2	26.09.2006.1b	12.10.11.2	01.06.08.1	23.09.2009.1	05.07.10.1	27.08.13.1	19.09.07.2	10.08.10.1	17.09.13.2	16.09.09.2	12.10.11.1	27.10.08.1	03.07.13.1	12.06.11.1	12.07.10.2	19.07.11.1	17.09.13.1	22.08.10.1	12.07.10.1	16.09.10.2	23.08.11.2	29.08.08.2	23.09.2009.2	15.05.11.1	23.08.11.1	07.06.12.2	05.05.10.1	05.05.10.2	26.09.07.2	12.09.11.1	23.10.13.1	05.06.13.2	07.06.12.1	16.08.13.2	06.07.07.2	05.06.13.1	29.08.08.1	16.08.13.1	10.08.10.2	22.08.07.2	05.09.06.1	02.08.07.1	27.06.06.1	07.10.08.6b	10.10.07.1	22.08.06.1	05.09.07.2	12.09.11.2	27.06.06.2	19.10.10.1	26.09.07.1	09.05.07.1	22.08.07.1	16.10.2006.2b	19.09.07.1	02.08.07.2	04.08.2008.2b	22.08.2009.p1	02.09.09.1	21.06.2011.2	15.10.09.p2	03.09.08.2b	25.06.2008.a	26.07.10.1	06.07.07.1	09.08.11.1	20.07.2012.2	29.07.2009.2d	13.06.2006.2c	19.07.11.2	20.05.2009.1	16.09.09.1	07.10.2008.5b	22.05.08.1	15.08.2006.2a	15.10.2009.1	29.08.07.2	09.08.11.2	17.09.2008.3b	21.06.2011.1	15.07.2008.2	02.08.2006.1b	19.06.2009.1	01.06.2008	18.08.2008.4d	08.07.2009.2	03.07.13.2	08.08.2009.p2	12.09.2006.1a	05.09.06.2	09.05.07.2	22.08.06.2	17.10.2012.1	20.05.2009.2	25.06.2008.b	05.09.07.1	13.06.2006.1c	28.07.2008.3d	08.07.2009.1	12.07.2009.2b	25.07.2009.p2	14.08.2012.2	20.07.2012.1	10.10.06.1	19.06.2009.2	05.07.2011.1	17.09.2008.1d	02.08.2006.2b	taxa
22	2	15	0	1	9	52	0	0	58	1	65	0	1	0	0	0	52	2	26	0	0	7	1	0	1	112	0	23	1	0	0	0	16	0	53	0	2	7	0	0	0	2	109	0	146	13	9	15	15	0	0	32	0	1	0	0	101	1	0	0	3	15	0	13	225	212	9	42	314	20	7	1	4	0	96	11	2	0	0	17	0	0	264	31	43	1	0	0	3	19	15	63	17	0	0	0	167	0	1	46	0	278	0	12	11	460	0	0	280	0	0	339	10	0	1	168	92	0	28	0	7	1	0	0	0	2	5	8	80	220	1	3	0	696	470	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__"
34	0	0	0	1	1	5	0	0	26	0	7	0	20	0	2	0	0	0	9	0	0	0	7	1	0	23	0	31	0	0	1	0	8	2	12	0	0	2	0	0	0	9	4	0	9	10	4	42	12	0	0	78	0	0	0	5	28	0	0	0	4	0	0	11	21	10	8	10	8	0	22	0	11	1	33	0	0	1	0	8	5	1	10	73	5	0	0	0	11	0	42	1	3	41	0	0	3	0	0	11	0	57	0	19	2	45	0	23	29	0	0	43	0	0	37	37	38	0	32	1	0	0	3	0	0	0	0	0	17	318	14	0	1	86	174	"k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__"
63	0	0	2	1	0	0	0	0	5	2	7	0	1	0	0	0	2	0	0	0	0	18	1	1	0	0	3	0	0	0	0	12	0	0	1	0	0	0	0	2	0	26	3	0	4	20	3	9	0	0	2	19	0	1	0	2	1	2	0	0	0	14	0	1	2	11	6	1	8	10	7	6	1	1	0	15	0	4	0	15	0	2	7	4	1	0	0	0	11	12	20	15	1	6	1	0	3	0	0	7	0	0	1	0	1	0	3	5	7	0	0	10	2	1	0	0	0	0	14	2	3	0	10	1	10	107	32	11	11	142	12	212	2	7	26	"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__; s__"
73	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	51	0	0	1	9	0	2	2	0	2	1	0	0	10	7	1	0	0	1	0	0	0	0	0	9	3	0	0	0	0	0	12	5	3	0	0	0	9	0	5	0	0	0	13	0	2	2	4	14	0	0	1	0	2	0	0	5	34	0	0	0	0	1	46	0	2	0	1	0	0	0	1	5	0	1	0	0	0	18	22	0	29	7	3	3	0	1	0	0	0	3	6	55	0	20	6	1	31	1	1	2	0	1	0	0	0	8	0	28	48	8	"k__Bacteria; p__ZB3; c__BS119; o__; f__; g__; s__"
93	0	0	0	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	2	6	0	12	0	0	0	1	0	11	0	0	0	0	0	1	2	0	0	0	21	3	1	0	6	0	0	0	0	17	0	0	0	0	0	0	2	0	5	0	26	0	0	79	0	3	0	43	0	0	0	0	0	6	0	0	0	2	2	0	0	77	0	14	0	3	2	0	0	2	0	19	97	0	10	0	4	15	14	0	0	28	0	0	0	0	0	13	21	10	0	3	0	0	0	0	0	0	0	0	25	0	1	3	0	0	50	51	Unassigned
111	0	0	0	0	0	11	0	2	2	0	2	1	0	0	0	1	0	0	15	0	7	0	0	0	0	4	0	28	3	0	1	1	5	2	0	0	2	13	0	0	4	4	6	0	0	8	0	0	5	1	0	1	4	0	0	2	4	0	10	15	11	13	13	5	25	1	0	8	10	1	8	38	7	2	0	0	0	7	0	0	1	0	7	10	3	0	0	1	4	0	8	17	0	0	0	1	16	0	2	7	0	3	0	7	0	12	0	0	7	3	0	7	0	0	15	90	35	0	9	1	0	0	0	2	0	258	0	0	4	7	12	95	11	22	36	"k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__Saprospira; s__"
129	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	2	0	3	0	0	1	0	0	1	21	0	0	3	42	1	0	1	0	0	0	0	0	71	7	0	13	0	1	0	0	0	0	0	0	0	7	0	1	0	1	3	20	0	0	2	0	0	0	0	0	1	1	4	0	864	7	3	0	0	20	717	3	0	2	0	12	0	0	0	2	0	286	2	21	0	0	0	0	0	0	10	0	54	0	15	68	0	0	2	1	101	423	0	1	252	3	3	0	1	8	14	8	3	0	0	1	3	0	39	1	1	3	1	0	0	194	7	1	115	2	"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__"
158	0	0	0	0	10	7	0	0	0	0	13	98	0	0	0	0	0	0	5	0	0	0	18	0	1	12	0	14	2	0	1	0	24	1	24	0	28	0	0	0	0	0	0	0	31	0	1	61	79	3	0	76	0	0	0	6	1	0	0	0	4	0	0	96	19	37	5	70	18	0	109	0	656	18	7	1	0	1	0	11	0	4	40	0	12	259	0	1	158	0	18	1	12	3	0	0	1	0	33	170	0	59	0	229	8	239	0	0	19	3	0	9	0	0	1	94	121	0	898	0	1	0	10	0	0	0	2	0	143	2	6	0	0	245	52	"k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__"
165	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	69	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	197	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	7	0	34	0	1	0	136	32	0	0	20	0	0	0	0	128	0	0	0	0	0	0	0	0	0	3	0	31	0	143	0	0	0	0	0	68	0	0	0	3	0	0	0	0	0	0	7	0	0	0	0	19	0	0	1	0	0	0	0	0	2	77	0	0	Unassigned
249	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	7	8	1	2	3	0	0	2	19	2	0	6	11	4	0	1	0	6	4	0	0	17	0	5	23	2	0	0	3	2	0	0	0	2	8	0	1	34	47	0	121	0	36	1	3	13	6	0	0	37	3	13	2	62	1	1	7	2	89	63	7	1	50	3	10	6	2	3	0	0	71	5	1	6	0	10	0	1	0	22	0	59	0	2	35	8	0	6	0	3	97	0	0	391	5	12	0	35	7	39	13	91	21	0	47	2	0	39	0	11	25	2	0	1	12	14	46	28	0	"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__; g__; s__"
