SampleID	Months	Years	Site	Period	bloom2	TP	TN	PN	PP	Temperature_Water_Celsius	DP	DN	Precipitation	Air_Mean_temperature_t0_t7	Microcystin_ug_L
01.06.08.1	June	2008	Littoral	Spring	no	NA	NA	NA	NA	NA	NA	NA	50.1	14.3	NA
01.06.2008	June	2008	Pelagic	Spring	no	NA	NA	NA	NA	NA	NA	NA	50.1	14.3	NA
02.06.2008	June	2008	Pelagic	Spring	no	33.15	0.642	NA	NA	NA	NA	NA	52.1	14.4	NA
02.07.2008	July	2008	Pelagic	Summer	no	23.258	0.85	NA	NA	NA	NA	NA	23.6	22.2	NA
02.08.07.1	August	2007	Littoral	Summer	no	46.655	0.5808	0.22095	24.85	28.2	21.805	0.35985	5.3	22.25	0.0072
02.08.07.2	August	2007	Pelagic	Summer	no	43.88	0.5773	0.1556	25.54	26.04	18.34	0.4217	5.3	22.25	0.0028
02.08.2006.1b	August	2006	Pelagic	Summer	yes	80.09251	0.960016	0.323464	34.5864635	26.9	45.5060465	0.636552	35.4	24.2	0.477
02.08.2006.2b	August	2006	Littoral	Summer	yes	121.2247495	1.4258495	0.8688725	92.5254245	27.8	28.699325	0.556977	35.4	24.2	1.88
02.09.09.1	September	2009	Littoral	Summer	no	58.47	NA	NA	NA	NA	NA	NA	3.25	15.7	0.06
02.09.2009.2	September	2009	Pelagic	Summer	no	58.68	NA	NA	NA	NA	NA	NA	3.25	15.7	0.135
03.07.13.1	July	2013	Littoral	Summer	no	30.088	0.971	0.071	11.05	25.7	19.038	0.9	11.7	20.3	0.13
03.07.13.2	July	2013	Pelagic	Summer	no	29.595	1.051	0.026	10.065	26.2	19.53	1.025	11.7	20.3	0.02
03.09.08.2b	September	2008	Littoral	Summer	no	47.64	0.56	0.18	30.36	NA	17.28	0.38	3.4	20.7	16
04.08.2008.2b	August	2008	Littoral	Summer	yes	190.69	1.13	0.63	43.92	NA	146.77	0.5	30.8	21.1	6390
04.08.2008.4b	August	2008	Pelagic	Summer	yes	110.507	1.67	1.016	63.212	NA	47.295	0.654	30.8	21.1	NA
05.05.10.1	May	2010	Littoral	Spring	no	NA	0.836	0.246	NA	15.6	NA	0.59	15.4	12.5	NA
05.05.10.2	May	2010	Pelagic	Spring	no	NA	0.742	0.146	NA	13.4	NA	0.596	15.4	12.5	NA
05.06.13.1	June	2013	Littoral	Spring	no	48.897	1.996	0.054	18.033	24.1	30.864	1.942	24.2	18.7	0.01
05.06.13.2	June	2013	Pelagic	Spring	no	45.035	1.506	0.002	13.372	22.9	31.663	1.504	24.2	18.7	0.07
05.07.10.1	July	2010	Littoral	Summer	no	NA	0.447	0.065	NA	NA	NA	0.382	4.3	19.6	0.38
05.07.2011.1	July	2011	Littoral	Summer	no	16.954	0.583	0.134	0.333	25.37	16.621	0.449	51.7	20.1	0.17
05.07.2011.2	July	2011	Pelagic	Summer	no	31.697	0.6	0.14	15.872	23.1	15.825	0.46	51.7	20.1	0.374
05.09.06.1	September	2006	Pelagic	Summer	no	46.806232	0.733574	0.2651095	26.7507195	20.3	20.0555125	0.4684645	1.36	16.2	0
05.09.06.2	September	2006	Littoral	Summer	no	69.370499	0.7367605	0.289031	45.9800165	21.5	23.3904825	0.4477295	1.36	16.2	0
05.09.07.1	September	2007	Littoral	Summer	no	55.12	0.49	0.1446	25.815	20.3	29.305	0.3454	2.3	16	0.00044
05.09.07.2	September	2007	Pelagic	Summer	no	50.885	0.47285	0.1583	27.755	20.2	23.13	0.31455	2.3	16	0.002
06.07.07.1	July	2007	Littoral	Summer	no	63.375	1.0253	0.5365	31.02	22	32.355	0.4888	57.9	16.15	0.0023
06.07.07.2	July	2007	Pelagic	Summer	no	36.52	0.60115	0.15225	19.08	20.96	17.44	0.4489	57.9	16.15	NA
07.06.12.1	June	2012	Littoral	Spring	no	49.33	0.892	0.165	15.015	22.5	34.315	0.727	18.5	15.3	0.574
07.06.12.2	June	2012	Pelagic	Spring	no	42.554	0.644	0.058	13.754	NA	28.8	0.586	18.5	15.3	0.795
07.06.2012.2	June	2012	Pelagic	Spring	no	42.554	0.644	0.058	13.754	NA	28.8	0.586	18.5	15.3	0.795
07.10.08.6b	October	2008	Pelagic	Fall	no	NA	0.44	0.12	NA	NA	NA	0.32	2.11	9.4	NA
07.10.2008.5b	October	2008	Pelagic	Fall	no	NA	0.44	0.12	NA	NA	NA	0.32	2.11	9.4	0.3
07.10.2008.6b	October	2008	Pelagic	Fall	no	NA	0.44	0.12	NA	NA	NA	0.32	2.11	9.4	NA
08.07.2009.1	July	2009	Littoral	Summer	no	56.65	NA	NA	NA	NA	NA	NA	7.2	18.8	NA
08.07.2009.2	July	2009	Pelagic	Summer	yes	58.26	NA	NA	28.41	NA	29.85	NA	7.2	18.8	NA
08.08.2009.2b	August	2009	Littoral	Summer	yes	108.599	NA	NA	85.713	25	22.886	NA	36	19.8	NA
08.08.2009.p2	August	2009	Pelagic	Summer	no	NA	NA	NA	NA	24.05	9.436	0.376	36	19.8	0.623
09.05.07.1	May	2007	Littoral	Spring	no	77.135	0.76725	0.1682	47.47	15.06	29.665	0.59905	0	11.425	NA
09.05.07.2	May	2007	Pelagic	Spring	no	58.56	0.78905	0.1323	47.275	13.5	11.285	0.65675	0	11.425	NA
09.08.11.1	August	2011	Littoral	Summer	yes	337.647	8.612	8.154	314.849	27.1	22.798	0.458	0.8	20.6	8.35
09.08.11.2	August	2011	Pelagic	Summer	yes	451.474	13.422	12.411	405.034	26.72	46.44	1.011	0.8	20.6	18.5
10.08.10.1	August	2010	Littoral	Summer	yes	NA	NA	NA	NA	24.64	NA	NA	59.6	20	0.153
10.08.10.2	August	2010	Pelagic	Summer	no	NA	NA	NA	NA	22.9	NA	NA	59.6	20	0.516
10.10.06.1	October	2006	Pelagic	Fall	no	NA	NA	NA	NA	NA	NA	NA	2.06	10.8	0
10.10.07.1	October	2007	Littoral	Fall	no	59.2	0.4711	0.1583	33.81	16.12	25.39	0.3128	3.33	13	0.000412
12.06.11.1	June	2011	Littoral	Spring	no	14.696	0.76	0.122	3.653	20.5	11.043	0.638	1.51	18.2	0
12.07.10.1	July	2010	Littoral	Summer	no	19.701	0.439	0.139	10.288	28.6	9.413	0.3	23.1	25.2	0.993
12.07.10.2	July	2010	Pelagic	Summer	no	27.861	0.316	0.037	14.495	27.4	13.366	0.279	23.1	25.2	0.06
12.07.11.1	July	2011	Littoral	Summer	no	16.954	0.583	0.134	0.333	25.37	16.621	0.449	51.7	20.1	0.17
12.07.2006.1b	July	2006	Pelagic	Summer	no	76.1119705	0.8902395	0.13276	52.728877	24.7	23.3830935	0.7574795	3.6	21.5	0.138
12.07.2006.2b	July	2006	Littoral	Summer	no	51.8749095	0.924632	0.12253	30.5174685	25.8	21.357441	0.802102	3.6	21.5	0.16
12.07.2009.1b	July	2009	Littoral	Summer	no	NA	0.924	0.26	NA	22.3	NA	0.664	5.38	18.4	NA
12.07.2009.2b	July	2009	Pelagic	Summer	no	NA	NA	NA	NA	22	5.412	0.601	5.38	18.4	1.7
12.09.11.1	September	2011	Littoral	Summer	no	31.164	1.271	0.314	20.073	20.2	11.091	0.957	41.8	16.4	1.1
12.09.11.2	September	2011	Pelagic	Summer	no	59.618	1.07	0.354	33.05	NA	26.568	0.716	41.8	16.4	3.25
12.09.2006.1a	September	2006	Pelagic	Summer	yes	54.114784	0.6329985	0.319964	36.7556305	18.9	17.3591535	0.3130345	6.7	14.9	2.74
12.09.2006.2b	September	2006	Littoral	Summer	yes	54.540525	0.6105105	0.3065785	40.019644	19.2	14.520881	0.303932	6.7	14.9	2.36
12.10.11.1	October	2011	Littoral	Fall	no	114.903	0.863	0.258	62.111	14.8	52.792	0.605	0	11.7	0.335
12.10.11.2	October	2011	Pelagic	Fall	no	183.097	1.211	0.605	140.511	14.2	42.586	0.606	0	11.7	3.46
13.06.2006.1c	June	2006	Pelagic	Spring	no	51.958527	1.413005	0.1136105	17.4296975	20.2	34.5288295	1.2993945	47.2	15.3	0.0033
13.06.2006.2c	June	2006	Littoral	Spring	no	58.42204	1.597079	0.1823885	20.625142	22.9	37.796898	1.4146905	47.2	15.3	0.0012
14.08.2012.1	August	2012	Littoral	Summer	yes	100.024	0.994	0.69	86.048	25.8	13.976	0.304	50.3	22.7	4.44
14.08.2012.2	August	2012	Pelagic	Summer	yes	91.021	0.622	0.372	76.918	24.5	14.103	0.25	50.3	22.7	1.56
15.05.11.1	May	2011	Littoral	Spring	no	64.338	0.655	0.08	27.523	9	36.815	0.575	27.5	13.2	0
15.05.2011.1	May	2011	Littoral	Spring	no	64.338	0.655	0.08	27.523	9	36.815	0.575	27.5	13.2	0
15.07.2008	July	2008	Littoral	Summer	no	81.93	0.795	NA	NA	24.47	NA	NA	33.1	21.2	NA
15.07.2008.2	July	2008	Pelagic	Summer	no	69.43	0.541	NA	NA	23.28	NA	NA	33.1	21.2	NA
15.08.2006.1a	August	2006	Pelagic	Summer	yes	NA	NA	NA	NA	NA	NA	NA	4.3	17.9	0
15.08.2006.2a	August	2006	Littoral	Summer	yes	163.5069225	1.455846	0.9378175	131.3577965	22.2	32.149126	0.5180285	4.3	17.9	4.28
15.10.09.p2	October	2009	Pelagic	Fall	no	38.86	NA	NA	NA	NA	NA	NA	2.01	5.7	NA
15.10.2009.1	October	2009	Littoral	Fall	no	33.98	NA	NA	NA	NA	NA	NA	2.01	5.7	0.0001
16.06.10.1	June	2010	Littoral	Spring	no	NA	0.408	0	NA	18.6	NA	0.471	6.9	14.7	NA
16.06.10.2	June	2010	Pelagic	Spring	no	NA	0.256	0	NA	18.7	NA	0.362	6.9	14.7	NA
16.08.13.1	August	2013	Littoral	Summer	yes	90.795	1.166	0.585	69.216	21	21.579	0.581	5.5	17.2	0.2
16.08.13.2	August	2013	Pelagic	Summer	no	40.149	0.464	0.104	17.22	20.5	22.929	0.36	5.5	17.2	0.05
16.09.09.1	September	2009	Littoral	Summer	yes	NA	NA	NA	NA	NA	NA	NA	0.55	15.5	NA
16.09.09.2	September	2009	Pelagic	Summer	yes	NA	NA	NA	NA	NA	NA	NA	0.55	15.5	NA
16.09.10.1	September	2010	Littoral	Summer	no	43.482	0.445	0.057	41.271	16.42	2.211	0.388	17	13.7	0.02
16.09.10.2	September	2010	Pelagic	Summer	no	50.83	0.42	0.114	24.722	16.2	26.108	0.306	17	13.7	0.06
16.10.2006.1b	October	2006	Pelagic	Fall	no	88.386926	0.283326	0	0	10	226.965586	0.520736	14.1	9.1	0
16.10.2006.2b	October	2006	Littoral	Fall	no	96.830787	0.7732315	0.2309495	54.7786615	9.5	42.0521255	0.542282	14.1	9.1	0
17.09.13.1	September	2013	Littoral	Summer	yes	194.865	2.186	1.552	162.3	16.8	32.565	0.634	84.8	14.5	11.7
17.09.13.2	September	2013	Pelagic	Summer	yes	153.644	1.409	0.879	88.496	17	65.148	0.53	84.8	14.5	7.24
17.09.2008.1d	September	2008	Littoral	Summer	no	80.4	NA	NA	47.58	19.45	32.82	NA	20.3	16.2	0
17.09.2008.3b	September	2008	Pelagic	Summer	no	71.16	0.72	0.181	40.57	18.16	30.59	0.539	20.3	16.2	0.4
17.09.2012.1	September	2012	Littoral	Summer	no	65.737	0.545	0.201	28.876	18.5	36.861	0.344	1.7	17.3	0.58
17.09.2012.2	September	2012	Pelagic	Summer	no	74.969	0.635	0.272	37.553	18	37.416	0.363	1.7	17.3	81.9
17.10.2012.1	October	2012	Littoral	Fall	no	54.588	0.83	0.067	20.363	9.5	34.225	0.763	25	9.3	0.00541
17.10.2012.2	October	2012	Pelagic	Fall	no	83.618	1.129	0.048	48.055	9.4	35.563	1.081	25	9.3	0.0197
18.08.2008.2d	August	2008	Littoral	Summer	yes	114.52	1.33	0.39	81.86	NA	32.66	0.94	5.6	21.5	NA
18.08.2008.4d	August	2008	Pelagic	Summer	yes	268.72	0.72	0.03	246.06	NA	22.66	0.69	5.6	21.5	NA
19.06.2009.1	June	2009	Littoral	Spring	no	NA	NA	NA	NA	NA	NA	NA	5.85	18.1	NA
19.06.2009.2	June	2009	Pelagic	Spring	no	NA	NA	NA	NA	NA	NA	NA	5.85	18.1	NA
19.07.11.1	July	2011	Littoral	Summer	no	57.995	0.838	0.305	18.794	27.03	39.201	0.533	5.7	20.8	0.81
19.07.11.2	July	2011	Pelagic	Summer	no	42.123	0.681	0.219	27.56	25.25	14.563	0.462	5.7	20.8	0.71
19.09.07.1	September	2007	Littoral	Fall	no	76.84	0.52205	0.17615	51.63	18	25.21	0.3459	1.53	12.7	0.000594
19.09.07.2	September	2007	Pelagic	Fall	no	92.47	0.5273	0.19955	71.31	17.44	21.16	0.32775	1.53	12.7	0.0006
19.10.10.1	October	2010	Littoral	Fall	no	NA	1.148	0.172	NA	8.98	NA	0.976	58.3	6.4	0
19.10.10.2	October	2010	Pelagic	Fall	no	NA	1.054	0.116	NA	8.5	NA	0.938	58.3	6.4	0.01
20.05.2009.1	May	2009	Littoral	Spring	no	63.091	0.953	0.132	19.147	15	43.944	0.821	27.3	12.6	NA
20.05.2009.2	May	2009	Pelagic	Spring	no	64.177	0.787	0.148	5.157	14	59.02	0.639	27.3	12.6	NA
20.07.2012.1	July	2012	Littoral	Summer	no	139.226	1.041	0.665	76.807	25.9	62.419	0.376	25.5	20.8	8.94
20.07.2012.2	July	2012	Pelagic	Summer	no	85.94	0.452	0.167	29.633	25	56.307	0.285	25.5	20.8	1.67
21.06.2011.1	June	2011	Littoral	Summer	no	37.607	0.955	0.429	19.458	24	18.149	0.526	3	17.9	0.0904
21.06.2011.2	June	2011	Pelagic	Summer	no	19.743	0.723	0.193	16.271	22.5	3.472	0.53	3	17.9	0.178
22.05.08.1	May	2008	Littoral	Spring	no	128.82	0.527	NA	NA	NA	NA	NA	27.2	11.4	NA
22.08.06.1	August	2006	Pelagic	Summer	no	97.0761445	0.9731345	0.341275	62.9809775	22.1	34.095167	0.6318595	8.7	21	0
22.08.06.2	August	2006	Littoral	Summer	no	97.2530575	0.843246	0.7936965	56.258289	22.9	40.9947685	0.0495495	8.7	21	0
22.08.07.1	August	2007	Littoral	Summer	no	66.915	0.55275	0.15955	39.83	19.92	27.085	0.3932	18.2	15.05	0.00217
22.08.07.2	August	2007	Pelagic	Summer	no	49.495	0.45825	0.09355	24.005	20.61	25.49	0.3647	18.2	15.05	0.0033
22.08.10.1	August	2010	Littoral	Summer	yes	NA	0.748	0.347	NA	NA	NA	0.401	12.5	19.4	0.378
22.08.2009.1	August	2009	Littoral	Summer	no	NA	NA	NA	NA	26.5	NA	NA	25.9	24.3	NA
22.08.2009.p1	August	2009	Pelagic	Summer	no	NA	NA	NA	NA	25.79	NA	NA	25.9	24.3	NA
23.08.11.1	August	2011	Littoral	Summer	no	211.889	0.867	0.426	172.006	22.2	39.883	0.441	81.7	19.2	1.82
23.08.11.2	August	2011	Pelagic	Summer	yes	159.915	0.923	0.588	114.76	NA	45.155	0.335	81.7	19.2	3.63
23.09.2009.1	September	2009	Littoral	Fall	no	38.51	NA	NA	20.12	NA	18.39	NA	23.3	15.3	0.0507
23.09.2009.2	September	2009	Pelagic	Fall	no	44.94	NA	NA	21.35	17.45	23.59	NA	23.3	15.3	0.0214
23.10.13.1	October	2013	Littoral	Fall	yes	92.716	0.769	0.315	54.36	11	38.356	0.454	23.5	10.7	0.1
23.10.13.2	October	2013	Pelagic	Fall	yes	73.558	0.537	0.094	28.162	11.2	45.396	0.443	23.6	10.7	0.12
24.04.12.1	April	2012	Littoral	Spring	no	34.068	0.567	0.049	33.278	NA	0.79	0.518	36.2	8.1	0
25.06.2008.a	June	2008	Littoral	Summer	no	52.13	1.47	NA	NA	NA	NA	NA	18.8	17.7	NA
25.06.2008.b	June	2008	Pelagic	Summer	no	35.27	0.91	NA	NA	NA	NA	NA	18.8	17.7	NA
25.07.06.1	July	2006	Pelagic	Summer	no	NA	NA	NA	NA	NA	NA	NA	2.3	22.7	0
25.07.2009.b	July	2009	Littoral	Summer	yes	64.006	0.719	0.231	34.443	NA	29.563	0.488	10.8	20.5	NA
25.07.2009.p2	July	2009	Pelagic	Summer	yes	NA	NA	NA	NA	NA	9.377	0.781	10.8	20.5	124
26.07.10.1	July	2010	Littoral	Summer	yes	111.861	1.18	0.691	82.889	24.2	28.972	0.489	13.7	20.4	2300
26.09.07.1	September	2007	Littoral	Fall	no	56.78	0.4795	0.12955	38.165	19	18.615	0.34995	0	18	0.000646
26.09.07.2	September	2007	Pelagic	Fall	no	44.155	0.47415	0.1171	22.9	19	21.255	0.35705	0	18	0.0005
26.09.2006.1b	September	2006	Pelagic	Fall	no	NA	NA	NA	NA	NA	NA	NA	18.7	14.1	0
26.09.2006.2a	September	2006	Littoral	Fall	no	117.763047	0.8454935	0.393823	91.2504645	15.9	26.5125825	0.4516705	18.7	14.1	1.92
26.11.12.1	November	2012	Littoral	Fall	no	177.494	1.897	0.841	146.034	2	31.46	1.056	4.6	0.4	0
27.06.06.1	June	2006	Pelagic	Summer	no	32.4227405	1.021058	0.1054705	21.060884	22.5	11.3618565	0.9155875	2.9	20.7	0
27.06.06.2	June	2006	Littoral	Summer	no	39.6124915	1.1335565	0.1081335	25.8540515	22.6	13.75844	1.025423	2.9	20.7	0
27.08.13.1	August	2013	Littoral	Summer	yes	148.474	1.693	1.184	127.608	23.2	20.866	0.509	12.9	19.1	1.37
27.08.13.2	August	2013	Pelagic	Summer	yes	82.828	0.982	0.449	45.083	24.6	37.745	0.533	12.9	19.1	0.8
27.10.08.1	October	2008	Littoral	Fall	no	37.975	NA	NA	6.535	NA	31.44	NA	0.2	6.8	NA
27.10.08.2	October	2008	Pelagic	Fall	no	46.115	NA	NA	19.082	NA	27.033	NA	0.2	6.8	NA
28.07.2008.3d	July	2008	Pelagic	Summer	yes	96.60307	NA	NA	66.78916	NA	29.81391	NA	28.8	21.6	NA
29.07.2009.2d	July	2009	Littoral	Summer	yes	56.97	NA	NA	NA	NA	NA	NA	3.78	22.8	1.14
29.08.07.2	August	2007	Pelagic	Summer	no	NA	NA	NA	NA	NA	0.02861	0.2592	1.42	20.1375	NA
29.08.08.1	August	2008	Littoral	Summer	no	NA	NA	NA	NA	NA	NA	NA	0.55	19.7	NA
29.08.08.2	August	2008	Pelagic	Summer	no	NA	NA	NA	NA	NA	NA	NA	0.55	19.7	NA
