name,label,ccc,p_log,replicates,Method,Draw,ccc_hat,selected_lambda,time
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 14)",1000,0.9937285,14,gof,r1.1,1471,40,5.420224686463674
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 14)",1000,0.9937285,14,gof,r1.2,1473,0,5.492890747388204
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 14)",1000,0.9937285,14,gof,r1.3,1475,0,5.36408193508784
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 14)",1000,0.9937285,14,mle_no_pen,r1.1,1471,NA,28.895069122314453
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 14)",1000,0.9937285,14,mle_no_pen,r1.2,1473,NA,30.43631148338318
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 14)",1000,0.9937285,14,mle_no_pen,r1.3,1475,NA,28.357654333114624
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 14)",2000,0.9937285,14,gof,r1.1,2933,0,7.129410847028097
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 14)",2000,0.9937285,14,gof,r1.2,2944,0,7.372163383165995
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 14)",2000,0.9937285,14,gof,r1.3,2928,0,5.788241724173228
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 14)",2000,0.9937285,14,mle_no_pen,r1.1,2933,NA,42.94045448303223
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 14)",2000,0.9937285,14,mle_no_pen,r1.2,2944,NA,45.0587272644043
logarithmic_fct-list/ccc_2000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 2000, prob = 0.9937285, replicates = 14)",2000,0.9937285,14,mle_no_pen,r1.3,2928,NA,44.867741107940674
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 14)",1000,0.9937285,14,gof,r1.1,1459,70,5.554238569736481
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 14)",1000,0.9937285,14,gof,r1.2,1599,5,5.388870700200399
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 14)",1000,0.9937285,14,gof,r1.3,1489,0,5.655290818214416
logarithmic_fct-list/ccc_1000/p_log_c015c9854ed46bc990d99b5c9a1fa8ad3c5c837e/replicates_14,"Logarithmic draws from true C = 1000, prob = 0.9937285, replicates = 14)",1000,0.9937285,14,mle_no_pen,r1.1,1459,NA,29.99051785469055
