ccc,alpha,delta,replicates,zero_probability,Method,ccc_hat,selected_lambda,time
1000,0.1,0.001,10,0.3,gof,913,40,7.497681903839111
1000,0.1,0.001,10,0.3,gof,789,30,8.080871534347533
1000,0.1,0.001,10,0.3,gof,664,50,7.969806810220082
1000,0.1,0.001,10,0.3,gof,655,30,7.810198175907135
1000,0.1,0.001,10,0.3,gof,780,0,8.029212276140848
1000,0.1,0.001,10,0.3,gof,925,0,7.938329807917277
1000,0.1,0.001,10,0.3,gof,665,80,7.944404411315918
1000,0.1,0.001,10,0.3,gof,648,0,7.885364290078481
1000,0.1,0.001,10,0.3,gof,782,10,8.21441609064738
1000,0.1,0.001,10,0.3,gof,632,60,8.017682512601217
1000,0.1,0.001,10,0.3,mle_no_pen,913,NA,29.944409132003784
1000,0.1,0.001,10,0.3,mle_no_pen,789,NA,32.264947175979614
1000,0.1,0.001,10,0.3,mle_no_pen,664,NA,30.44619345664978
1000,0.1,0.001,10,0.3,mle_no_pen,655,NA,30.94094157218933
1000,0.1,0.001,10,0.3,mle_no_pen,780,NA,33.39839220046997
1000,0.1,0.001,10,0.3,mle_no_pen,925,NA,31.07487726211548
1000,0.1,0.001,10,0.3,mle_no_pen,665,NA,32.345925092697144
1000,0.1,0.001,10,0.3,mle_no_pen,648,NA,31.26037096977234
1000,0.1,0.001,10,0.3,mle_no_pen,782,NA,31.598761081695557
1000,0.1,0.001,10,0.3,mle_no_pen,632,NA,31.433392763137817
1000,0.1,0.001,10,0.3,gof,802,0,7.928128818670909
1000,0.1,0.001,10,0.3,gof,662,10,8.059942801793417
1000,0.1,0.001,10,0.3,gof,637,40,7.919408126672109
1000,0.1,0.001,10,0.3,gof,665,0,8.335732229550679
1000,0.1,0.001,10,0.3,gof,797,40,8.533885351816814
1000,0.1,0.001,10,0.3,gof,804,20,8.33870053688685
1000,0.1,0.001,10,0.3,gof,2344,20,7.945331339041392
1000,0.1,0.001,10,0.3,gof,667,30,8.175802898406982
1000,0.1,0.001,10,0.3,gof,791,50,8.11943838596344
1000,0.1,0.001,10,0.3,gof,508,90,7.80439726114273
1000,0.1,0.001,10,0.3,mle_no_pen,802,NA,33.074689865112305
1000,0.1,0.001,10,0.3,mle_no_pen,662,NA,31.238072633743286
1000,0.1,0.001,10,0.3,mle_no_pen,637,NA,31.002350568771362
1000,0.1,0.001,10,0.3,mle_no_pen,665,NA,31.721638679504395
1000,0.1,0.001,10,0.3,mle_no_pen,797,NA,32.168089389801025
1000,0.1,0.001,10,0.3,mle_no_pen,804,NA,31.598793745040894
1000,0.1,0.001,10,0.3,mle_no_pen,2344,NA,31.708096027374268
1000,0.1,0.001,10,0.3,mle_no_pen,810,NA,32.31913661956787
1000,0.1,0.001,10,0.3,mle_no_pen,791,NA,31.782980918884277
1000,0.1,0.001,10,0.3,mle_no_pen,646,NA,31.71079158782959
1000,0.1,0.001,10,0.3,gof,925,10,8.04434092839559
1000,0.1,0.001,10,0.3,gof,780,0,8.053993594646453
1000,0.1,0.001,10,0.3,gof,791,10,8.096992413202921
