method,ccc,alpha,delta,r,ccc_hat,absolute_error,alpha_hat,delta_hat,selected_lambda,time,sim_subset,draw,id,eta,alpha_delta_r
[0] MLE,1e3,0.1,0.001,6,938,62,0.10931630479677891,0.00128707043161018,NA,262.332,1,1,1,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,0.001,6,958,42,0.10983363150782575,0.0010950586375052538,NA,256.93800000000005,1,2,2,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,0.001,6,1473,473,0.06428582336044075,9.993343826697162e-4,NA,244.40800000000002,1,3,3,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,0.001,6,2056,1056,0.039940542446780934,9.225481948270195e-4,NA,238.40600000000006,1,4,4,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,0.001,6,1032,32,0.09969773400728857,0.0011255935053194732,NA,248.18200000000002,1,5,5,"(1e-01, 1e-03)","((1e-01, 1e-03),6)"
[0] MLE,1e3,0.1,1e-5,6,968,32,0.09781794807115139,6.069527118736011e-6,NA,364.37900000000013,1,1,1,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,1e-5,6,872,128,0.1283367157124211,8.064215257284544e-6,NA,351.81899999999996,1,2,2,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,1e-5,6,1004,4,0.09614935517517649,6.641941467066406e-6,NA,352.97900000000004,1,3,3,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,1e-5,6,987,13,0.09669805861429168,6.638192058130524e-6,NA,348.0720000000001,1,4,4,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
[0] MLE,1e3,0.1,1e-5,6,964,36,0.09949211784547818,6.669820961615434e-6,NA,346.56299999999965,1,5,5,"(1e-01, 1e-05)","((1e-01, 1e-05),6)"
